date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:15	1037860/1037860	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22329853df1c3e94cb8876b5723c40c699%22	https://use.hugeicons.com/font/hgi-stroke-rounded.woff?t=1746104606739	C:/Meus%20Sites/braspress/use.hugeicons.com/font/hgi-stroke-rounded9dc3.woff	(from https://use.hugeicons.com/font/icons.css)
21:46:16	349/349	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20May%202024%2022:38:00%20GMT	https://www.youtube.com/robots.txt		(from https://enviopendente.lat/v1/)
21:46:16	2132640/2132640	---MCZ	200	added ('OK')	font/ttf	etag:W/%22ed1746fbad500fea94f6e5c5eb97ed7d%22	https://use.hugeicons.com/font/hgi-stroke-rounded.ttf?t=1746104606739	C:/Meus%20Sites/braspress/use.hugeicons.com/font/hgi-stroke-rounded9dc3.ttf	(from https://use.hugeicons.com/font/icons.css)
21:46:16	3384/3384	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jun%202025%2000:46:16%20GMT	https://www.youtube.com/img/meh7.png	C:/Meus%20Sites/braspress/www.youtube.com/img/meh7.1d.delayed	(from https://www.youtube.com/embed/W29E-AfKINQ)
21:46:17	459171/459171	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Jun%202025%2004:12:53%20GMT	https://www.youtube.com/s/player/6ba8ddc3/www-player.css	C:/Meus%20Sites/braspress/www.youtube.com/s/player/6ba8ddc3/www-player.css	(from https://www.youtube.com/embed/W29E-AfKINQ)
21:46:17	5509012/5509012	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223c3fd3d776ac14bb3c0b56f2dffbf983%22	https://use.hugeicons.com/font/hgi-stroke-rounded.svg?t=1746104606739	C:/Meus%20Sites/braspress/use.hugeicons.com/font/hgi-stroke-rounded9dc3.svg	(from https://use.hugeicons.com/font/icons.css)
21:46:18	33783/33783	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Jun%202025%2004:12:53%20GMT	https://www.youtube.com/s/player/6ba8ddc3/player_ias.vflset/pt_BR/embed.js	C:/Meus%20Sites/braspress/www.youtube.com/s/player/6ba8ddc3/player_ias.vflset/pt_BR/embed.js	(from https://www.youtube.com/embed/W29E-AfKINQ)
21:46:19	354228/354228	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Jun%202025%2004:12:53%20GMT	https://www.youtube.com/s/player/6ba8ddc3/www-embed-player.vflset/www-embed-player.js	C:/Meus%20Sites/braspress/www.youtube.com/s/player/6ba8ddc3/www-embed-player.vflset/www-embed-player.js	(from https://www.youtube.com/embed/W29E-AfKINQ)
21:46:20	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%226840d95c-18%22	https://pay.pacotesegurobr.lat/robots.txt		(from https://enviopendente.lat/v1/consulta/index.php)
21:46:20	6834/6834	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Jun%202025%2000:46:19%20GMT	https://use.hugeicons.com/robots.txt		(from https://use.hugeicons.com/font/icons.css)
21:46:39	2581132/2581132	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Jun%202025%2004:12:53%20GMT	https://www.youtube.com/s/player/6ba8ddc3/player_ias.vflset/pt_BR/base.js	C:/Meus%20Sites/braspress/www.youtube.com/s/player/6ba8ddc3/player_ias.vflset/pt_BR/base.js	(from https://www.youtube.com/embed/W29E-AfKINQ)
